"WATER_SYSTEM_NUMBER","WATER_SYSTEM_NAME","CITY","COUNTY","ZIPCODE","CLASSIFICATION","POPULATION","SERVICE_CONNECTIONS","REGULATING_AGENCY","VIOLATION_NUMBER","VIOLATION_TYPE_NAME","ANALYTE_NAME","RESULT","MCL","VIOL_BEGIN_DATE","VIOL_END_DATE","ENF_ACTION_NUMBER","ENF_ACTION_ISSUE_DATE","ENF_ACTION_TYPE_ISSUED","inTulareBasin"
"CA2701263","PARTINGTON RIDGE MWC","BIG SUR","MONTEREY","93920","COMMUNITY","75","25","LPA57 - MONTEREY COUNTY","1600030","FAILURE TO FILTER (SWTR)","SWTR","NA","NA","2015-10-01","NA","804280","2008-05-08","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2701676","SAN LUCAS WD","SAN LUCAS","MONTEREY","93954","COMMUNITY","500","96","LPA57 - MONTEREY COUNTY","9800003","MCL, SINGLE SAMPLE","NITRATE","17 MG/L","10 MG/L","2016-07-01","2016-09-30","9800423","2017-05-10","OTHER INFORMAL ENFORCEMENT ACTION TAKEN",false
"CA2701898","CLEAR RIDGE WA","BIG SUR","MONTEREY","93920","COMMUNITY","123","41","LPA57 - MONTEREY COUNTY","1600019","FAILURE TO FILTER (SWTR)","SWTR","NA","NA","2015-10-01","NA","205879","2014-11-14","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2701926","MORO RD WS #09","SALINAS","MONTEREY","93907","COMMUNITY","210","65","LPA57 - MONTEREY COUNTY","9700010","MCL,  AVERAGE","ARSENIC",".015 MG/L",".010 MG/L","2018-01-01","2018-03-31","1506169","2015-12-08","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2702405","JENSEN MHP WS","CARMEL VALLEY","MONTEREY","93924","COMMUNITY","56","26","LPA57 - MONTEREY COUNTY","1600037","MCL,  AVERAGE","FLUORIDE","2.2 MG/L","2.0 MG/L","2015-04-01","2015-06-30","1405894","2014-11-14","OTHER INFORMAL ENFORCEMENT ACTION TAKEN",false
"CA2702409","EL CAMINO WC INC","SALINAS","MONTEREY","93908","COMMUNITY","90","31","LPA57 - MONTEREY COUNTY","9900010","MCL, SINGLE SAMPLE","NITRATE","20 MG/L","10 MG/L","2017-10-01","2017-12-31","1305722","2011-04-07","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2702466","SAN VICENTE MWC","SOLEDAD","MONTEREY","93960","COMMUNITY","90","30","LPA57 - MONTEREY COUNTY","9700010","MCL, SINGLE SAMPLE","NITRATE","15 MG/L","10 MG/L","2016-10-01","2016-12-31","1506017","2014-09-05","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2702550","GRANGE HALL WS","SALINAS","MONTEREY","93908","NON-TRANSIENT NON-COMMUNITY","25","1","LPA57 - MONTEREY COUNTY","1600048","MCL,  AVERAGE","ARSENIC",".049 MG/L",".010 MG/L","2018-01-01","2018-03-31","1506103","2015-06-18","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2810013","BERRYESSA HIGHLANDS","NAPA","NAPA","94558","COMMUNITY","924","351","DISTRICT 03 - MENDOCINO","9803002","RES DISINFECT CONCENTRATION (SWTR)","SWTR","NA","NA","2014-01-01","2014-01-31","9903007","2015-03-01","RETURN TO COMPLIANCE",false
"CA2810013","BERRYESSA HIGHLANDS","NAPA","NAPA","94558","COMMUNITY","924","351","DISTRICT 03 - MENDOCINO","9803012","MCL, LRAA","TTHM","0.1 MG/L","NA","2018-01-01","2018-03-31","9903005","2016-06-30","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA2900502","FLORISTON WATER SYSTEM","FLORISTON","NEVADA","96111","COMMUNITY","75","45","LPA59 - NEVADA COUNTY","1600003","FAILURE TO FILTER (SWTR)","SWTR","NA","NA","2012-07-25","NA","1700599","2018-02-06","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3200104","GRIZZLY LAKE CSD-DELLEKER","DELLEKER","PLUMAS","96122","COMMUNITY","657","330","DISTRICT 02 - LASSEN","9702023","MCL,  AVERAGE","COMBINED URANIUM","29.2 PCI/L","20 PCI/L","2017-10-01","2017-12-31","9702016","2018-01-03","INFORMAL ENFORCEMENT ACTION ISSUED",false
"CA3210011","PLUMAS EUREKA CSD","BLAIRSDEN","PLUMAS","96103","COMMUNITY","325","546","DISTRICT 02 - LASSEN","1202034","MCL,  AVERAGE","ARSENIC","0.011 MG/L","NA","2017-01-01","2017-03-31","9502014","2016-09-14","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3301380","SAINT ANTHONY TRAILER PARK","MECCA","RIVERSIDE","92254","COMMUNITY","300","95","LPA63 - RIVERSIDE COUNTY","9900008","MCL,  AVERAGE","ARSENIC","0.019 MG/L","0.010 MG/L","2018-04-01","2018-06-30","1203407","2010-03-03","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3301491","ALPINE VILLAGE","PINYON PINES","RIVERSIDE","92561","COMMUNITY","198","60","LPA63 - RIVERSIDE COUNTY","9700012","MCL,  AVERAGE","COMBINED URANIUM","33 PCI/L","20 PCI/L","2018-04-01","2018-06-30","9701847","2018-04-03","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3301529","RAMONA WATER COMPANY","ANZA","RIVERSIDE","92539","COMMUNITY","250","83","LPA63 - RIVERSIDE COUNTY","9900023","MCL, SINGLE SAMPLE","NITRATE","12 MG/L","NA","2018-01-01","2018-03-31","1103394","2011-02-01","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3301529","RAMONA WATER COMPANY","ANZA","RIVERSIDE","92539","COMMUNITY","250","83","LPA63 - RIVERSIDE COUNTY","1400037","STATE PRIMARY MCL VIOL - NOT CR6","1,1-DICHLOROETHYLENE","0.0078 MG/L","0.006 MG/L","2013-10-01","2013-12-31","1403636","2013-12-03","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3301535","RANCHO CARRILLO MWC","LAKE ELSINORE","RIVERSIDE","92693","COMMUNITY","168","74","LPA63 - RIVERSIDE COUNTY","9900009","MCL, SINGLE SAMPLE","NITRATE","11.1 MG/L","NA","2017-07-01","2017-09-30","9701783","2017-05-24","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3303100","OASIS GARDENS WATER CO.","THERMAL","RIVERSIDE","92274","COMMUNITY","314","160","LPA63 - RIVERSIDE COUNTY","1700019","MCL,  AVERAGE","ARSENIC","0.013 MG/L","0.010 MG/L","2018-04-01","2018-06-30","1603958","2016-03-29","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3400103","B & W RESORT MARINA","ISLETON","SACRAMENTO","95641","COMMUNITY","100","37","LPA64 - SACRAMENTO COUNTY","1700009","MCL,  AVERAGE","ARSENIC","0.03825 MG/L","0.010 MG/L","2017-01-01","2017-03-31","1600761","2016-04-13","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3400130","THE COURTLAND GROUP","COURTLAND","SACRAMENTO","95615","COMMUNITY","40","34","LPA64 - SACRAMENTO COUNTY","1500013","MCL,  AVERAGE","ARSENIC",".02975 MG/L","0.010 MG/L","2015-04-01","2015-06-30","900363","2008-10-29","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3400138","LOCKE WATER WORKS CO [SWS]","WALNUT GROVE","SACRAMENTO","95690","COMMUNITY","80","42","LPA64 - SACRAMENTO COUNTY","9900003","MCL,  AVERAGE","ARSENIC","0.0243 UG/L","0.005 UG/L","2017-10-01","2017-12-31","1600741","2015-12-31","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3400149","RANCHO MARINA","ISLETON","SACRAMENTO","95641","COMMUNITY","250","77","LPA64 - SACRAMENTO COUNTY","1700045","MCL,  AVERAGE","ARSENIC","0.030 UG/L","0.005 UG/L","2017-10-01","2017-12-31","1400665","2014-11-14","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3400164","VIEIRA'S RESORT, INC","ISLETON","SACRAMENTO","95641","COMMUNITY","150","107","LPA64 - SACRAMENTO COUNTY","1700071","MCL,  AVERAGE","ARSENIC","0.027 UG/L","0.005 UG/L","2017-10-01","2017-12-31","1600739","2015-12-31","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3500823","BEST ROAD MWC","HOLLISTER","SAN BENITO","95023","COMMUNITY","133","48","DISTRICT 05 - MONTEREY","805019","MCL,  AVERAGE","ARSENIC","0.276 MG/L","0.010 MG/L","2018-04-01","2018-06-30","905008","2016-11-04","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3500823","BEST ROAD MWC","HOLLISTER","SAN BENITO","95023","COMMUNITY","133","48","DISTRICT 05 - MONTEREY","805013","MCL, LRAA","TTHM","0.888 MG/L","0.080 MG/L","2017-07-01","2017-09-30","905011","2018-05-10","RETURN TO COMPLIANCE",false
"CA3500823","BEST ROAD MWC","HOLLISTER","SAN BENITO","95023","COMMUNITY","133","48","DISTRICT 05 - MONTEREY","805016","MCL,  AVERAGE","TOTAL HALOACETIC ACIDS (HAA5)","0.130 MG/L","0.060 MG/L","2017-10-01","2017-12-31","905011","2018-05-10","RETURN TO COMPLIANCE",false
"CA3500823","BEST ROAD MWC","HOLLISTER","SAN BENITO","95023","COMMUNITY","133","48","DISTRICT 05 - MONTEREY","805017","FAILURE TO FILTER (SWTR)","SWTR","NA","NA","2018-03-01","NA","905010","2018-04-13","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3500923","FAIRVIEW ROAD WATER SYSTEM","HOLLISTER","SAN BENITO","95023","COMMUNITY","33","10","DISTRICT 05 - MONTEREY","1205027","MCL, LRAA","TTHM","0.137 MG/L","0.080 MG/L","2018-04-01","2018-06-30","1205022","2018-04-18","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3500923","FAIRVIEW ROAD WATER SYSTEM","HOLLISTER","SAN BENITO","95023","COMMUNITY","33","10","DISTRICT 05 - MONTEREY","1205020","MCL,  AVERAGE","ASBESTOS","29.5 MFL","7 MFL","2016-04-01","2016-06-30","1205016","2016-05-26","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3600012","APPLE VALLEY VIEW MWC","APPLE VALLEY","SAN BERNARDINO","92307","COMMUNITY","275","81","LPA66 - SAN BERNARDINO COUNTY","1700021","MCL,  AVERAGE","FLUORIDE","2.8 MG/L","2 MG/L","2018-04-01","2018-06-30","1400125","2017-07-14","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3600025","BAR-LEN MWC","BARSTOW","SAN BERNARDINO","92311","COMMUNITY","124","39","LPA66 - SAN BERNARDINO COUNTY","1600030","MCL,  AVERAGE","ARSENIC","16 UG/L","10 UG/L","2018-04-01","2018-06-30","1500195","2017-07-13","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3600086","DAGGETT COMM SVCS DIST","DAGGETT","SAN BERNARDINO","92327","COMMUNITY","795","195","LPA66 - SAN BERNARDINO COUNTY","1300004","MCL,  AVERAGE","COMBINED URANIUM","35 PCI/L","20 PCI/L","2018-04-01","2018-06-30","1300090","2017-11-22","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3600114","CSA 70 W-3 HACIENDA","VICTORVILLE","SAN BERNARDINO","92395","COMMUNITY","695","153","LPA66 - SAN BERNARDINO COUNTY","1600029","MCL,  AVERAGE","COMBINED URANIUM","24 PCI/L","20 PCI/L","2018-04-01","2018-06-30","1500180","2017-06-20","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3600114","CSA 70 W-3 HACIENDA","VICTORVILLE","SAN BERNARDINO","92395","COMMUNITY","695","153","LPA66 - SAN BERNARDINO COUNTY","1600021","MCL,  AVERAGE","GROSS ALPHA PARTICLE ACTIVITY","32 PCI/L","15 PCI/L","2016-04-01","2016-06-30","1200011","2011-11-22","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3600184","NORTH SHORE MWC","FAWNSKIN","SAN BERNARDINO","92333","COMMUNITY","25","32","LPA66 - SAN BERNARDINO COUNTY","2","MCL,  AVERAGE","COMBINED URANIUM","40 PCI/L","20 PCI/L","2018-04-01","2018-06-30","1","2018-02-15","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3600196","CSA 70 W-4 PIONEERTOWN","PIONEERTOWN","SAN BERNARDINO","92268","COMMUNITY","625","120","LPA66 - SAN BERNARDINO COUNTY","1700064","MCL,  AVERAGE","FLUORIDE","8.5 MG/L","2 MG/L","2018-04-01","2018-06-30","1200019","2014-08-08","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3600196","CSA 70 W-4 PIONEERTOWN","PIONEERTOWN","SAN BERNARDINO","92268","COMMUNITY","625","120","LPA66 - SAN BERNARDINO COUNTY","1700063","MCL,  AVERAGE","ARSENIC","105 UG/L","10 UG/L","2018-04-01","2018-06-30","1200019","2014-08-08","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3600196","CSA 70 W-4 PIONEERTOWN","PIONEERTOWN","SAN BERNARDINO","92268","COMMUNITY","625","120","LPA66 - SAN BERNARDINO COUNTY","1500037","MCL,  AVERAGE","COMBINED URANIUM","22 PCI/L","20 PCI/L","2015-04-01","2015-06-30","1200019","2014-08-08","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3600222","JUNIPER RIVIERA CWD","APPLE VALLEY","SAN BERNARDINO","92307","COMMUNITY","437","250","DISTRICT 13 - SAN BERNARDINO","1113012","MCL,  AVERAGE","FLUORIDE","2.1 MG/L","NA","2017-04-01","2018-03-31","1213017","2017-11-06","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3600226","CSA 70-F MORONGO","MORONGO VALLEY","SAN BERNARDINO","92256","COMMUNITY","450","88","LPA66 - SAN BERNARDINO COUNTY","1700033","MCL,  AVERAGE","COMBINED URANIUM","37 PCI/L","20 PCI/L","2018-04-01","2018-06-30","1500166","2017-06-20","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3600391","HILLCREST MOBILE ESTATES","YUCAIPA","SAN BERNARDINO","92399","COMMUNITY","900","180","LPA66 - SAN BERNARDINO COUNTY","1600008","MCL,  AVERAGE","NITRATE","11.33 MG/L","10 MG/L","2017-10-01","2017-12-31","1500154","2018-02-08","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3600391","HILLCREST MOBILE ESTATES","YUCAIPA","SAN BERNARDINO","92399","COMMUNITY","900","180","LPA66 - SAN BERNARDINO COUNTY","1600007","MCL, SINGLE SAMPLE","NITRATE-NITRITE","11 MG/L","10 MG/L","2016-04-01","2016-06-30","1500153","2017-05-05","RETURN TO COMPLIANCE",false
"CA3600504","KNOLL ENTERPRISES","LUDLOW","SAN BERNARDINO","92338","COMMUNITY","500","28","LPA66 - SAN BERNARDINO COUNTY","1700043","MCL,  AVERAGE","ARSENIC","17 UG/L","10 UG/L","2018-04-01","2018-06-30","1500197","2017-05-12","OTHER INFORMAL ENFORCEMENT ACTION TAKEN",false
"CA3600504","KNOLL ENTERPRISES","LUDLOW","SAN BERNARDINO","92338","COMMUNITY","500","28","LPA66 - SAN BERNARDINO COUNTY","1700029","MCL,  AVERAGE","GROSS ALPHA PARTICLE ACTIVITY","34.98 PCI/L","15 PCI/L","2016-07-01","2016-09-30","1500195","2013-10-11","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3600504","KNOLL ENTERPRISES","LUDLOW","SAN BERNARDINO","92338","COMMUNITY","500","28","LPA66 - SAN BERNARDINO COUNTY","1700042","MCL,  AVERAGE","COMBINED URANIUM","28 PCI/L","20 PCI/L","2018-04-01","2018-06-30","1500197","2017-05-12","OTHER INFORMAL ENFORCEMENT ACTION TAKEN",false
"CA3601015","IRONWOOD CAMP","NEWBERRY SPRINGS","SAN BERNARDINO","92365","COMMUNITY","1000","73","LPA66 - SAN BERNARDINO COUNTY","1700053","MCL,  AVERAGE","ARSENIC","37 UG/L","10 UG/L","2018-04-01","2018-06-30","1500171","2017-03-22","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3601015","IRONWOOD CAMP","NEWBERRY SPRINGS","SAN BERNARDINO","92365","COMMUNITY","1000","73","LPA66 - SAN BERNARDINO COUNTY","1700052","MCL,  AVERAGE","FLUORIDE","5.0 MG/L","2 MG/L","2018-04-01","2018-06-30","1500171","2017-03-22","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3601048","BARTON FLATS WATER SYSTEM","ANGELUS OAKS","SAN BERNARDINO","92305","COMMUNITY","1040","13","DISTRICT 13 - SAN BERNARDINO","4","MONTHLY COMB FLTR EFFLUENT (IESWTR/LT1)","IESWTR","NA","NA","2017-07-01","2017-07-31","1","2018-06-06","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3610017","HAVASU WC","HAVASU LAKE","SAN BERNARDINO","92363","COMMUNITY","361","224","DISTRICT 13 - SAN BERNARDINO","9113002","MCL, LRAA","TTHM","0.094 MG/L","0.080 MG/L","2015-07-01","2015-09-30","9913012","2015-11-24","FORMAL ENFORCEMENT ACTION WITH PENALTY ISSUED",false
"CA3610064","EAST VALLEY WATER DISTRICT","HIGHLAND","SAN BERNARDINO","92346","COMMUNITY","104457","21432","DISTRICT 13 - SAN BERNARDINO","1013004","MCL, LRAA","TTHM","0.092 MG/L","0.080 MG/L","2017-01-01","2017-03-31","9913021","2017-04-10","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3610117","DEVORE WC","SAN BERNARDINO","SAN BERNARDINO","92407","COMMUNITY","1636","503","DISTRICT 13 - SAN BERNARDINO","7","MCL, SINGLE SAMPLE","NITRATE-NITRITE","16 MG/L","NA","2017-07-01","2017-09-30","9813011","2017-11-17","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3610850","CALIFORNIA INSTITUTION FOR MEN","CHINO","SAN BERNARDINO","91710","COMMUNITY","10667","1912","DISTRICT 13 - SAN BERNARDINO","9513006","STATE PRIMARY MCL VIOL - NOT CR6","1,2,3-TRICHLOROPROPANE","0.000070 MG/L","NA","2018-01-01","2018-03-31","9913040","2018-06-15","RETURN TO COMPLIANCE",false
"CA3610850","CALIFORNIA INSTITUTION FOR MEN","CHINO","SAN BERNARDINO","91710","COMMUNITY","10667","1912","DISTRICT 13 - SAN BERNARDINO","9513007","MCL,  AVERAGE","NITRATE","47.0 MG/L","NA","2018-05-01","2018-05-31","9913041","2018-07-06","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3700897","GUATAY MUTUAL BENEFIT CORPORATION","GUATAY","SAN DIEGO","91931","COMMUNITY","100","35","LPA67 - SAN DIEGO COUNTY","1705365","MCL,  AVERAGE","COMBINED URANIUM","24.78 PCI/L","20 PCI/L","2017-04-01","2017-06-30","1606121","2017-06-30","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3700918","RANCHO SANTA TERESA MW CO.","RAMONA","SAN DIEGO","92065","COMMUNITY","95","37","LPA67 - SAN DIEGO COUNTY","1705363","MCL,  AVERAGE","COMBINED URANIUM","67.33 PCI/L","20 PCI/L","2017-04-01","2017-06-30","1506092","2017-06-30","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3700919","LAKE WOHLFORD RESORT","ESCONDIDO","SAN DIEGO","92027","COMMUNITY","235","137","DISTRICT 14 - SAN DIEGO","802708","SINGLE COMB. FILTER EFFLUENT (SWTR)","SWTR","NA","NA","2018-07-16","2018-07-31","803238","2018-08-09","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3700936","RANCHO ESTATES MUTUAL WATER CO.","PAUMA VALLEY","SAN DIEGO","92061","COMMUNITY","200","88","LPA67 - SAN DIEGO COUNTY","1705367","MCL, SINGLE SAMPLE","NITRATE","10.6 MG/L","10 MG/L","2017-04-01","2017-06-30","1606133","2017-04-25","FORMAL ENFORCEMENT ACTION WITH PENALTY ISSUED",false
"CA3701010","WARNER UNIFIED SCHOOL DISTRICT","WARNER SPRINGS","SAN DIEGO","92086","NON-TRANSIENT NON-COMMUNITY","250","15","LPA67 - SAN DIEGO COUNTY","1705360","MCL,  AVERAGE","ARSENIC","0.035 MG/L","0.010 MG/L","2017-04-01","2017-06-30","1606137","2016-03-11","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3701341","QUIET OAKS MOBILE HOME PARK","WARNER SPRINGS","SAN DIEGO","92086","COMMUNITY","120","45","LPA67 - SAN DIEGO COUNTY","1504160","MCL, SINGLE SAMPLE","NITRATE-NITRITE","13.3 MG/L","10 MG/L","2014-10-01","2014-12-31","1505153","2015-02-05","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3701341","QUIET OAKS MOBILE HOME PARK","WARNER SPRINGS","SAN DIEGO","92086","COMMUNITY","120","45","LPA67 - SAN DIEGO COUNTY","1705352","MCL, SINGLE SAMPLE","NITRATE","10.1 MG/L","10 MG/L","2017-07-01","2017-09-30","1506067","2017-06-08","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3701408","YUIMA MUNICIPAL WATER DISTRICT","PAUMA VALLEY","SAN DIEGO","92061","COMMUNITY","260","105","DISTRICT 14 - SAN DIEGO","9814003","MCL, SINGLE SAMPLE","NITRATE","12 MG/L","10 MG/L","2018-07-01","2018-07-31","9814008","2018-08-10","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3701793","TWIN LAKES RESORT","POTRERO","SAN DIEGO","91963","COMMUNITY","200","145","LPA67 - SAN DIEGO COUNTY","1705359","MCL,  AVERAGE","ARSENIC","0.012 MG/L","0.010 MG/L","2017-04-01","2017-06-30","1606148","2016-12-13","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3702754","RANCHO CORRIDO RV RESORT","PAUMA VALLEY","SAN DIEGO","92061","COMMUNITY","350","120","LPA67 - SAN DIEGO COUNTY","1605333","MCL, SINGLE SAMPLE","NITRATE","14.4 MG/L","10 MG/L","2016-10-01","2016-12-31","1606142","2016-03-31","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3710009","DESCANSO COMMUNITY SERVICES DISTRICT","DESCANSO","SAN DIEGO","91916","COMMUNITY","870","315","DISTRICT 14 - SAN DIEGO","9814019","MCL,  AVERAGE","COMBINED URANIUM","27 PCI/L","NA","2018-01-01","2018-03-31","114005","2016-05-16","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA3900579","CENTURY MOBILE HOME PARK","STOCKTON","SAN JOAQUIN","95215","COMMUNITY","50","16","LPA69 - SAN JOAQUIN COUNTY","1600042","MCL,  AVERAGE","ARSENIC","0.012 MG/L","0.010 MG/L","2017-07-01","2017-09-30","1202508","2012-07-01","INFORMAL ENFORCEMENT ACTION ISSUED",false
"CA3900726","BENTLEY TRAILER COURT","STOCKTON","SAN JOAQUIN","95205","COMMUNITY","84","28","LPA69 - SAN JOAQUIN COUNTY","1600011","MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","2017-04-01","2017-06-30","1602966","2017-06-16","INFORMAL ENFORCEMENT ACTION ISSUED",false
"CA3901169","MUSD-NILE GARDEN SCHOOL","MANTECA","SAN JOAQUIN","95336","NON-TRANSIENT NON-COMMUNITY","804","3","LPA69 - SAN JOAQUIN COUNTY","1600033","MCL,  AVERAGE","ARSENIC",".021 MG/L",".010 MG/L","2017-10-01","2017-12-31","1202511","2012-07-01","INFORMAL ENFORCEMENT ACTION ISSUED",false
"CA3901213","AVALOS, SILVIA","STOCKTON","SAN JOAQUIN","95204","COMMUNITY","30","15","LPA69 - SAN JOAQUIN COUNTY","1600037","MCL,  AVERAGE","ARSENIC","0.012 MG/L","0.010 MG/L","2017-07-01","2017-09-30","1202512","2012-07-01","INFORMAL ENFORCEMENT ACTION ISSUED",false
"CA3910022","LITTLE POTATO SLOUGH MUTUAL","LODI","SAN JOAQUIN","95242","COMMUNITY","1010","202","DISTRICT 10 - STOCKTON","510007","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.065 MG/L","0.060 MG/L","2016-04-01","2016-06-30","9910003","2016-05-31","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA4000637","COUNTRY HILLS ESTATES","ARROYO GRANDE","SAN LUIS OBISPO","93420","COMMUNITY","60","28","LPA70 - SAN LUIS OBISPO COUNTY","900011","MCL,  AVERAGE","ARSENIC","0.024 MG/L","0.010 MG/L","2017-04-01","2017-06-30","900243","2016-03-23","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA4000774","PLEASANT VALLEY ELEMENTARY","SAN MIGUEL","SAN LUIS OBISPO","93451","NON-TRANSIENT NON-COMMUNITY","100","1","LPA70 - SAN LUIS OBISPO COUNTY","900038","MCL,  AVERAGE","ARSENIC","0.014 MG/L","0.010 MG/L","2017-07-01","2017-09-30","800231","2009-01-16","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA4100509","COUNTY SERVICE AREA 7","LA HONDA","SAN MATEO","94020","COMMUNITY","300","68","DISTRICT 17 - SANTA CLARA","500028","MCL, LRAA","TTHM","0.090 UG/L","0.080 UG/L","2017-07-01","2017-09-30","1000139","2017-11-02","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA4100513","PESCADERO HIGH SCHOOL","PESCADERO","SAN MATEO","94060","NON-TRANSIENT NON-COMMUNITY","105","1","DISTRICT 17 - SANTA CLARA","4","MCL, SINGLE SAMPLE","NITRATE","11 MG/L","10 MG/L","2017-04-01","2017-04-30","800181","2017-05-10","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA4100529","CAMP LOMA MAR","LOMA MAR","SAN MATEO","94021","COMMUNITY","176","21","DISTRICT 17 - SANTA CLARA","9600005","MCL,  AVERAGE","TOTAL HALOACETIC ACIDS (HAA5)","0.148 MG/L","0.060 MG/L","2012-10-01","2012-12-31","1217184","2013-01-31","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA4100529","CAMP LOMA MAR","LOMA MAR","SAN MATEO","94021","COMMUNITY","176","21","DISTRICT 17 - SANTA CLARA","9600007","MCL,  AVERAGE","TTHM","0.148 MG/L","0.080 MG/L","2012-10-01","2012-12-31","1217184","2013-01-31","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA4210009","CUYAMA COMMUNITY SERVICES DISTRICT","NEW CUYAMA","SANTA BARBARA","93254","COMMUNITY","800","254","DISTRICT 06 - SANTA BARBARA","9506012","MCL,  AVERAGE","ARSENIC","17.3 MG/L","10 MG/L","2018-06-01","2018-06-30","9506015","2018-07-26","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA4300575","TWIN VALLEY INC","MORGAN HILL","SANTA CLARA","95037","COMMUNITY","250","92","DISTRICT 17 - SANTA CLARA","9705029","MCL, SINGLE SAMPLE","NITRATE","11.5 MG/L","10 MG/L","2017-12-01","2017-12-31","9817031","2017-12-19","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA4300610","ANCHORPOINT CHRISTIAN SCHOOL","GILROY","SANTA CLARA","95020","NON-TRANSIENT NON-COMMUNITY","85","1","DISTRICT 17 - SANTA CLARA","817002","MCL, SINGLE SAMPLE","NITRATE","12.1 MG/L","NA","2016-09-01","2016-09-30","9417004","2016-12-01","FORMAL ENFORCEMENT ACTION WITH PENALTY ISSUED",false
"CA4400528","LAUREL COMMUNITY LEAGUE","LOS GATOS","SANTA CRUZ","95030","COMMUNITY","78","26","DISTRICT 05 - MONTEREY","1000011","FAILURE TO FILTER (SWTR)","SWTR","NA","NA","2017-01-01","NA","1000651","2018-02-07","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA4410301","CSP - BIG BASIN STATE PARK","APTOS","SANTA CRUZ","95003","COMMUNITY","3029","170","DISTRICT 05 - MONTEREY","1205007","RES DISINFECT CONCENTRATION (SWTR)","SWTR","NA","NA","2012-01-01","2012-01-31","1205009","2012-03-19","FORMAL ENFORCEMENT ACTION ISSUED",false
